Community_id,star_value,Nodes,len
46,0.0135,"['528', '689', '728', '532', '550', '749', '665', '692', '501', '664', '710', '629', '703', '663', '707', '697', '658', '722', '700', '590', '538', '512', '514', '678', '525', '517']",26
47,0.0138,"['735', '567', '724', '726', '644']",5
48,0.0136,"['730', '666', '584', '626', '687', '743', '595', '623', '691', '656', '736', '520']",12
49,0.0131,"['718', '645', '620', '680', '731', '574', '636', '565', '553', '661', '699', '562', '638', '531', '686', '500', '585', '653', '628', '654', '548', '557', '599']",23
50,0.0106,"['404', '427', '240', '212', '369', '235', '418']",7
51,0.0107,"['413', '264', '345', '461', '430']",5
52,0.01,"['312', '332', '446', '325', '315', '294', '271', '322', '337']",9
53,0.0153,"['768', '961', '915', '777']",4
54,0.0128,"['566', '712']",2
55,0.0127,"['738', '569', '640']",3
56,0.0108,"['239', '287']",2
57,0.0126,['685'],1
58,0.0155,"['866', '850', '990', '956', '779', '785']",6
59,0.0151,"['910', '932', '881']",3
